sample	amplicon	feature	total_feature_entropy	decomp_entropy	Amp_nseg_entropy
JH-EsoAd1	amplicon1	Complex non-cyclic_1	4.310985164758986	0.9097877830968306	3.4011973816621555
JH-EsoAd1	amplicon2	ecDNA_1	3.288404835764937	0.6493475061496785	2.639057329615259
JH-EsoAd1	amplicon3	Linear amplification_1	3.37632672649112	0.8914200767031196	2.4849066497880004
JH-EsoAd1	amplicon4	ecDNA_1	4.852351536730536	1.1634720826165996	3.6888794541139363
JH-EsoAd1	amplicon5	ecDNA_1	2.702139843005156	0.21723319321715576	2.4849066497880004
JH-EsoAd1	amplicon6	ecDNA_1	4.027805949651973	0.8497521193040268	3.1780538303479458
JH-EsoAd1	amplicon6	ecDNA_2	3.6867834492668172	0.7423444701003765	2.9444389791664407
