sample_name	amplicon_number	amplicon_decomposition_class	ecDNA+	BFB+	ecDNA_amplicons	No amp/Invalid	Linear amplification	Trivial cycle	Complex non-cyclic	Complex cyclic	foldback_read_prop	BFB_bwp	Distal_bwp	BFB_cwp	Amp_entropy	Amp_decomp_entropy	Amp_nseg_entropy
ESO26	amplicon1	Cyclic	None detected	Positive	0	0.4106865523962553	0.0	0.0	0.43637926925637266	0.15293417834737205	1.0	0.5657677195919356	0.0	1.0	3.962430178508856	1.2543799774066462	2.70805020110221
ESO26	amplicon2	Complex non-cyclic	None detected	Positive	0	0.1554818840754143	0.0	0.0	0.8445181159245857	0.0	1.0	1.0	0.0	1.0	2.1852613709925306	0.5758234585584305	1.6094379124341003
ESO26	amplicon3	Complex non-cyclic	None detected	None detected	0	0.18852680247885045	0.4504293009969463	0.0	0.3610438965242031	0.0	0	0	0	0	5.128933892698303	1.632426331231823	3.4965075614664802
ESO26	amplicon4	Cyclic	None detected	Positive	0	0.25083615174933704	0.029921763440601473	0.0	0.013775554196891618	0.70546653061317	0.33672172808132145	0.5164760702832489	0.40761104983964014	0.3852988829474362	4.892165356210127	1.063523959721032	3.828641396489095
ESO26	amplicon5	Cyclic	None detected	Positive	0	0.0	0.0	0.0	0.27031994750202026	0.72968005249798	0.29957805907172996	0.31229101416639604	0.687708985833604	1.0	4.8579981672973815	1.4240109628122355	3.4339872044851463
ESO51	amplicon1	Complex non-cyclic	None detected	None detected	0	0.00015693216399764937	0.0	0.0	0.9998430678360022	0.0	0.4792332268370607	0	0	0	4.614740147198893	1.213542765536738	3.4011973816621555
ESO51	amplicon2	Linear amplification	None detected	None detected	0	0.14349690735252407	0.47065904156216026	0.0	0.38584405108531555	0.0	0	0	0	0	2.242730344169568	0.6332924317354676	1.6094379124341003
ESO51	amplicon3	Complex non-cyclic	None detected	None detected	0	0.052814935697640356	0.7856830220284877	0.10576865733098506	0.05573338494288693	0.0	0	0	0	0	5.601368576562958	1.6501248579815309	3.951243718581427
ESO51	amplicon4	Cyclic	Positive	None detected	1	0.07224014704893318	0.0	0.0	0.7517575966803858	0.1760022562706809	0.1625	0	0	0	3.529510404065462	0.9645610466039256	2.5649493574615367
ESO51	amplicon5	Complex non-cyclic	None detected	None detected	0	0.18475856893347997	0.34767000369477236	0.0934668529325462	0.37410457443920153	0.0	0	0	0	0	5.48270451825134	1.5508788855270137	3.9318256327243257
ESO51	amplicon6	Cyclic	None detected	Positive	0	0.2970254798726721	0.2320581928094103	0.0	0.0	0.4709163273179176	0.44	0.3455374021344044	0.3055312956031527	1.0	3.876109062294559	1.1035203400547777	2.772588722239781
ESO51	amplicon7	Linear amplification	None detected	None detected	0	0.49536880690965657	0.5046311930903435	0.0	0.0	0.0	0	0	0	0	1.8929935981977688	0.5066992370778781	1.3862943611198906
ESO51	amplicon8	Linear amplification	None detected	None detected	0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	1.033113717420383	0.33996653686043776	0.6931471805599453
ESO51	amplicon9	Cyclic	Positive	None detected	1	0.04756359400860009	0.0	0.0	0.3794531902460653	0.5729832157453345	0	0.8240324289838784	0.0	1.0	3.0791491152292467	0.5942424654412461	2.4849066497880004
FLO-1	amplicon1	Complex non-cyclic	None detected	None detected	0	0.0798890197057757	0.002621022608165024	0.0	0.9174899576860593	0.0	0	0	0	0	3.7968595397592932	0.6188057094113474	3.1780538303479458
FLO-1	amplicon2	Linear amplification	None detected	None detected	0	0.0	0.8682912535643219	0.0	0.13170874643567806	0.0	0	0	0	0	1.686954163255013	0.3006598021351224	1.3862943611198906
FLO-1	amplicon3	Cyclic	Positive	None detected	1	0.0	0.6095773142489025	0.3904226857510975	0.0	0.0	0	0	0	0	1.4003445075707184	0.30173221890260854	1.0986122886681098
FLO-1	amplicon4	Cyclic	Positive	None detected	1	0.0	0.5933562635863687	0.40664373641363116	0.0	0.0	0	0	0	0	1.4083193946294879	0.30970710596137807	1.0986122886681098
FLO-1	amplicon5	No amp/Invalid	None detected	None detected	0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	1.4471412107723034	0.3485289221041935	1.0986122886681098
FLO-1	amplicon6	No amp/Invalid	None detected	None detected	0	0.9999999999999999	0.0	0.0	0.0	0.0	0	0	0	0	1.439550954918001	0.34093866624989116	1.0986122886681098
JH-EsoAd1	amplicon1	Complex non-cyclic	None detected	None detected	0	0.03061471058680734	0.8048094945555825	0.0	0.16457579485760995	0.0	0	0	0	0	4.764047955558875	0.9139003538488166	3.8501476017100584
JH-EsoAd1	amplicon2	Cyclic	Positive	None detected	1	0.05729346872615151	0.7521923152998196	0.04543424264651608	0.06946105887695567	0.07561891445055714	0	0	0	0	5.899216773592985	2.028015762685094	3.871201010907891
JH-EsoAd1	amplicon3	Cyclic	Positive	None detected	1	0.009289810674270111	0.014079934406494646	0.004549356108190435	0.1500205567674823	0.8220603420435627	0.21703617269544925	0.28185887886981914	0.6153021985895306	0.46896697489937295	5.14401419293145	1.1550301463671753	3.9889840465642745
JH-EsoAd1	amplicon4	Cyclic	Positive	None detected	1	0.19034379031133342	0.14433350578088022	0.0	0.4519376570199533	0.21338504688783302	0.2792207792207792	0.227868776507761	0.522833294531756	1.0	5.097751822767675	1.601244261301195	3.4965075614664802
JH-EsoAd1	amplicon5	Cyclic	Positive	None detected	2	0.06791120813383117	0.6239203098885305	0.05057946267666607	0.0560400111934275	0.20154900810754467	0.09475806451612903	0.06023292794736597	0.651452319374748	0.1635536949655451	5.792285857166947	1.6651514721218548	4.127134385045092
OACM5.1	amplicon1	Cyclic	Positive	None detected	1	0.39335923813666696	0.023158797711770585	0.1983139632587997	0.0624930451921907	0.3226749557005719	0.13250517598343686	0.11535147493086041	0.5018937424732522	0.4658077035501357	6.463512441142937	1.8583422551548456	4.605170185988091
OACP4-C	amplicon10	Cyclic	Positive	None detected	1	0.0	0.817572681628134	0.18242731837186602	0.0	0.0	0	0	0	0	1.7058925853023459	0.31959822418245537	1.3862943611198906
OACP4-C	amplicon11	Complex non-cyclic	None detected	None detected	0	0.23501147680169418	0.615814043424578	0.0	0.14917447977372778	0.0	0.08679245283018867	0	0	0	5.746343499912305	1.962153865994044	3.784189633918261
OACP4-C	amplicon12	Cyclic	Positive	None detected	1	0.07199535413523034	0.857374442568916	0.036068199787908206	0.0	0.034562003507945485	0	0	0	0	4.2567240160163875	0.9608871500120582	3.295836866004329
OACP4-C	amplicon13	Cyclic	Positive	None detected	1	0.12963554569361635	0.4330421173926398	0.0	0.3511557003589898	0.08616663655475396	0	0	0	0	6.1284597286618965	2.2164367232337505	3.912023005428146
OACP4-C	amplicon14	Cyclic	Positive	None detected	1	0.19977009999738984	0.0027438303492369007	0.028689452878057162	0.4875157480936141	0.2812808686817021	0	0	0	0	3.9295862991896793	1.0392145412935143	2.890371757896165
OACP4-C	amplicon15	Complex non-cyclic	None detected	None detected	0	0.0	0.5463281631955532	0.0	0.45367183680444684	0.0	0	0	0	0	2.4412172366460547	0.36177569496621875	2.0794415416798357
OACP4-C	amplicon16	Linear amplification	None detected	None detected	0	0.0	0.902017426540602	0.09798257345939794	0.0	0.0	0	0	0	0	1.8795265499065912	0.49323218878670066	1.3862943611198906
OACP4-C	amplicon17	Cyclic	Positive	None detected	1	0.0	0.6838933725953915	0.3161066274046086	0.0	0.0	0	0	0	0	1.358454762668925	0.25984247400081506	1.0986122886681098
OACP4-C	amplicon18	Cyclic	Positive	None detected	1	0.0	0.7143531775366414	0.28564682246335854	0.0	0.0	0	0	0	0	1.3389026130274488	0.24029032435933914	1.0986122886681098
OACP4-C	amplicon19	Linear amplification	None detected	None detected	0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0.7453974642773223	0.05225028371737705	0.6931471805599453
OACP4-C	amplicon1	Cyclic	Positive	None detected	1	0.026229757092273997	0.19975305592615952	0.019730317156369557	0.6155958213994177	0.13869104842577892	0	0	0	0	5.4231648751444155	1.8122469625001907	3.6109179126442243
OACP4-C	amplicon20	Cyclic	Positive	None detected	1	0.0	0.24869484766627192	0.22998391716179242	0.0	0.5213212351719357	0.3442622950819672	0	0	0	3.2628084014489263	0.8649131286505555	2.3978952727983707
OACP4-C	amplicon21	Linear amplification	None detected	None detected	0	0.32184084902893895	0.678159150971061	0.0	0.0	0.0	0	0	0	0	1.934742120986618	0.5484477598667274	1.3862943611198906
OACP4-C	amplicon22	Linear amplification	None detected	None detected	0	0.24376428062923514	0.5828292269065555	0.008424462366545118	0.16498203009766413	0.0	0	0	0	0	4.764867065292508	1.6738246119341922	3.0910424533583156
OACP4-C	amplicon23	Cyclic	Positive	None detected	1	0.0	0.7642431394766588	0.23575686052334122	0.0	0.0	0	0	0	0	1.3040815952600324	0.20546930659192275	1.0986122886681098
OACP4-C	amplicon24	Cyclic	Positive	None detected	1	0.15815614070406028	0.45044793930929616	0.0981755593038736	0.0	0.29322036068277	0	0.23091811088366337	0.46183622176732675	0.5267904265820986	3.486367815444839	0.9214184579833022	2.5649493574615367
OACP4-C	amplicon25	Linear amplification	None detected	None detected	0	0.12681934538487066	0.608460464662746	0.0	0.2647201899523834	0.0	0	0.11865563608727618	0.16146484589076066	1.0	2.5617830222816806	0.6158728732263674	1.9459101490553135
OACP4-C	amplicon26	Cyclic	Positive	None detected	1	0.0	0.7996889064590057	0.2003110935409943	0.0	0.0	0	0	0	0	1.2773636516171367	0.1787513629490269	1.0986122886681098
OACP4-C	amplicon27	Cyclic	Positive	None detected	1	0.06360277549265231	0.529088853369045	0.40730837113830265	0.0	0.0	0	0	0	0	3.4739038896401286	0.9889972398521285	2.4849066497880004
OACP4-C	amplicon28	No amp/Invalid	None detected	None detected	0	0.9999999999999999	0.0	0.0	0.0	0.0	0	0	0	0	2.462882146637919	0.5169719975826057	1.9459101490553135
OACP4-C	amplicon2	Cyclic	Positive	None detected	1	0.14654045687435302	0.3497540957310496	0.0921976942048115	0.25959479850123257	0.15191295468855381	0	0	0	0	6.440240871253826	2.2658536013581885	4.174387269895637
OACP4-C	amplicon3	Cyclic	Positive	None detected	1	0.0	0.5575727927919882	0.2915518377275529	0.0	0.1508753694804589	0	0	0	0	2.59302654295624	0.6471163939009266	1.9459101490553135
OACP4-C	amplicon4	Cyclic	Positive	None detected	1	0.0	0.5391640175677915	0.46083598243220847	0.0	0.0	0	0	0	0	1.4316716290878209	0.33305934041971114	1.0986122886681098
OACP4-C	amplicon5	Cyclic	Positive	None detected	1	0.0	0.7480589665861913	0.25194103341380875	0.0	0.0	0	0	0	0	1.315750508393277	0.21713821972516725	1.0986122886681098
OACP4-C	amplicon6	Linear amplification	None detected	None detected	0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0.8797594459145037	0.18661226535455844	0.6931471805599453
OACP4-C	amplicon7	Cyclic	Positive	None detected	1	0.025361980399957264	0.5300717521748047	0.44456626742523797	0.0	0.0	0	0	0	0	2.697447642991733	0.5002230656555136	2.1972245773362196
OACP4-C	amplicon8	Cyclic	Positive	None detected	1	0.06279963859967191	0.03924620978460923	0.01669133064385206	0.4901395049098586	0.3911233160620081	0	0	0	0	5.000437060177672	1.2162474262594118	3.784189633918261
OACP4-C	amplicon9	Cyclic	Positive	None detected	1	0.004501211839212536	0.44868742570701675	0.5468113624537708	0.0	0.0	0	0	0	0	2.4261698970253223	0.6344104277972671	1.791759469228055
OE33	amplicon1	Cyclic	Positive	None detected	1	0.3896527393001338	0.18688946335922985	0.0	0.22301167825128554	0.2004461190893509	0.25523012552301255	0.21534424959117762	0.4985132454643006	0.8902527004312535	5.624178639528057	1.9606169933984106	3.6635616461296463
OE33	amplicon2	Linear amplification	None detected	None detected	0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0.0	0	-0.0
OE33	amplicon3	Cyclic	Positive	None detected	1	0.0	0.5161934102892755	0.0	0.19390495260191568	0.28990163710880895	0	0.468934831626304	0.0	1.0	2.268858420408704	0.6594205079746038	1.6094379124341003
OE33	amplicon4	Cyclic	None detected	Positive	0	0.05142752154240131	0.05610895015196955	0.0	0.5218667332449068	0.3705967950607223	0.44552058111380144	0.38902859806742524	0.5630459503400468	1.0	5.343992228851674	1.878256326051947	3.4657359027997265
OE33	amplicon5	No amp/Invalid	None detected	None detected	0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	1.703657522557822	0.3173631614379315	1.3862943611198906
SK-GT-4	amplicon1	Linear amplification	None detected	None detected	0	0.0	0.9248832902060495	0.0	0.07511670979395037	0.0	0	0	0	0	3.1923017135406955	0.5532443839254368	2.639057329615259
SK-GT-4	amplicon2	Complex non-cyclic	None detected	None detected	0	0.14281611195272637	0.1556660282229058	0.010151922208251491	0.6913659376161163	0.0	0	0	0	0	5.598021899667989	1.6467781810865616	3.951243718581427
