feature_ID	captured_region_size_bp	median_feature_CN	max_feature_CN
JH-EsoAd1_amplicon1_Complex non-cyclic_1	2968394	12.109468499743066	16.58726684672552
JH-EsoAd1_amplicon2_ecDNA_1	119398	4.977916753171078	8.184656855640497
JH-EsoAd1_amplicon3_Linear amplification_1	2334526	5.19605019598677	6.345576844961202
JH-EsoAd1_amplicon4_ecDNA_1	4117865	18.662142187484626	19.834948859108394
JH-EsoAd1_amplicon5_ecDNA_1	217998	11.020319796243008	12.23780765294106
JH-EsoAd1_amplicon6_ecDNA_1	2191219	6.770292724361539	9.220483727517632
JH-EsoAd1_amplicon6_ecDNA_2	2232415	7.076338935910476	102.05594924461744
