feature_ID	captured_region_size_bp	median_feature_CN	max_feature_CN
ESO51_amplicon1_Complex non-cyclic_1	6411775	8.741028788374422	35.927973888235556
ESO51_amplicon2_Linear amplification_1	2970072	5.4291759695943185	5.4291759695943185
ESO51_amplicon3_Complex non-cyclic_1	1133644	4.8126057432209395	21.343545889730226
ESO51_amplicon4_ecDNA_1	74459	6.428407794859	7.217044195394679
ESO51_amplicon5_Complex non-cyclic_1	1419281	6.187012677720055	18.314654798475086
ESO51_amplicon6_BFB_1	1322051	17.663883485497255	17.663883485497255
ESO51_amplicon7_Linear amplification_1	119716	6.4181118749828885	6.4181118749828885
ESO51_amplicon8_ecDNA_1	5164745	7.491971114608349	9.59476633124432
